name,name_en,phone,website,email,address,city,governorate,category,subcategory,latitude,longitude,facebook,instagram,data_quality,verified,source
سفينة الانوار,,,,,شارع المحيط,Baghdad,Baghdad,Hotel,hotel,33.3841515,44.339555,,,partial,false,osm
فندق سكن محمد نور القمر,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3809652,44.3394453,,,partial,false,osm
فندق ضيوف قصر الكاظمين,Kader Al-Kadimain hotel,,,,,Baghdad,Baghdad,Hotel,hotel,33.379587,44.3449369,,,partial,false,osm
فندق ضيء الامامين,,,,,شارع باب المراد,Baghdad,Baghdad,Hotel,hotel,33.3801791,44.341834,,,partial,false,osm
فندق ريحانه الكاظمية,rayhana alkadimia,,,,,Baghdad,Baghdad,Hotel,hotel,33.3764759,44.3459441,,,partial,false,osm
Bab Al Rayyan,Bab Al Rayyan,,,,المراد,Baghdad,Baghdad,Hotel,hotel,33.3802107,44.3425723,,,partial,false,osm
فندق الراياحين,,,,,ساحة مؤمل,Baghdad,Baghdad,Hotel,hotel,33.3787302,44.3451363,,,partial,false,osm
فندق سلسبيل,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3787871,44.3443828,,,partial,false,osm
فندق باب المراد,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3802052,44.3432916,,,partial,false,osm
فندق جميره,,,,,شارع باب المراد,Baghdad,Baghdad,Hotel,hotel,33.3798776,44.3457524,,,partial,false,osm
فندق القباب الذهبية,Golden Domes Hotel,,,,,Baghdad,Baghdad,Hotel,hotel,33.3786667,44.3443903,,,partial,false,osm
فندق راوند,,,,,شارع باب المراد,Baghdad,Baghdad,Hotel,hotel,33.3805787,44.3440131,,,partial,false,osm
انوار الكاظمين,Anwar Alkadhrmain,,,,,Baghdad,Baghdad,Hotel,hotel,33.3792769,44.3442364,,,partial,false,osm
ضيوف قصر الكاظمية,Deuf kasr kadhimia d.k.k,,,,,Baghdad,Baghdad,Hotel,hotel,33.3790274,44.3445934,,,partial,false,osm
فندق برج الصفا,burj alsafa hotel,,,,شارع باب المراد,Baghdad,Baghdad,Hotel,hotel,33.3783516,44.3450899,,,partial,false,osm
فندق اوار الكاظمين,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3792554,44.3439307,,,partial,false,osm
فندق البراق,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3764229,44.3447133,,,partial,false,osm
فندق برج الكاظمية,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3795864,44.344245,,,partial,false,osm
فندق,fndq,,,,شارع اكد,Baghdad,Baghdad,Hotel,hotel,33.379336,44.3441229,,,partial,false,osm
فندق سيد الرسل,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3807013,44.342324,,,partial,false,osm
فندق السبط,,,,,شارع باب المراد,Baghdad,Baghdad,Hotel,hotel,33.380168,44.3421001,,,partial,false,osm
فندق الازهران,,,,,شارع المحيط,Baghdad,Baghdad,Hotel,hotel,33.3799517,44.343504,,,partial,false,osm
فندق السلطان,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3803172,44.3435814,,,partial,false,osm
مديريه الاستخبارات العسكريه,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3803442,44.3479944,,,partial,false,osm
الكاظمية شارع باب المراد,,,,,شارع باب القبله,Baghdad,Baghdad,Hotel,hotel,33.3796877,44.3439121,,,partial,false,osm
فندق الخفاجي 2,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3794177,44.3437925,,,partial,false,osm
فندق الاقمار السياحي,,,,,بغداد / الكاظمية,Baghdad,Baghdad,Hotel,hotel,33.3796604,44.3447608,,,partial,false,osm
Burj Al Jawad Hotel,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3799739,44.3447473,,,partial,false,osm
فندق فدك الزهراء,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3812463,44.3447653,,,partial,false,osm
فندق الخفاجي,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3810011,44.3448282,,,partial,false,osm
فندق قرطاج,,,,,,Baghdad,Baghdad,Hotel,hotel,33.381415,44.3435329,,,partial,false,osm
فندق العرش,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3835735,44.3418603,,,partial,false,osm
فندق السراج المنير,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3809322,44.3433307,,,partial,false,osm
فندق ضيافة الامام محمد الجواد,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3825619,44.3429304,,,partial,false,osm
فندق دار ضيافة الامام الجواد,,,,,شارع المحيط,Baghdad,Baghdad,Hotel,hotel,33.3825235,44.3430128,,,partial,false,osm
فندق سبأ السياحي,,,,,Safiy Ad Din Al-Hilli Street,Baghdad,Baghdad,Hotel,hotel,33.3715552,44.4054881,,,partial,false,osm
مجمع كلشي وكلاشي دراجات الاعظمية,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3846103,44.3850935,,,partial,false,osm
كهوة عمار,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3887984,44.3682097,,,partial,false,osm
بيت ابو فقار الكناني,,,,,شارع الفلاح,Baghdad,Baghdad,Hotel,hotel,33.3692698,44.4417104,,,partial,false,osm
مجمع الاعراس السياحي,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2852859,44.373031,,,partial,false,osm
فندق بابل - وارويك,Warwick Babylon Hotel,,,,,Baghdad,Baghdad,Hotel,hotel,33.2912001,44.3903846,,,partial,false,osm
Rayhaan Rotana Hotel,,,,,شارع الكندي,بغداد,Baghdad,Hotel,hotel,33.3117965,44.3649862,,,partial,false,osm
فندق الرشيد,Al Rasheed Hotel,,,,,Baghdad,Baghdad,Hotel,hotel,33.3159605,44.3896594,,,partial,false,osm
فندق الرشيد,Royal Tulip Al Rasheed Hotel,,https://royal-tulip-al-rasheed-hotel.goldentulip.com,,,Baghdad,Baghdad,Hotel,hotel,33.3163952,44.3899043,,,partial,false,osm
فندق المنصور ميليا,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3280277,44.396356,,,partial,false,osm
فندق المنصور,Al Mansour Hotel,,,,,بغداد,Baghdad,Hotel,hotel,33.3278896,44.3966459,https://www.facebook.com/pages/%D9%81%D9%86%D8%AF%D9%82-%D9%85%D9%86%D8%B5%D9%88%D8%B1-%D9%85%D9%8A%D9%84%D9%8A%D8%A7/303651809754998,,partial,false,osm
فندق العراق الحديث,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3488233,44.3859656,,,partial,false,osm
فندق دار الجامعة,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3484463,44.3880545,,,partial,false,osm
Crystal Grand Hotel Ishtar,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3139268,44.4190626,,,partial,false,osm
فندق فلسطين الدولي,International Palestine Hotel,,,,,Baghdad,Baghdad,Hotel,hotel,33.3152176,44.4185351,IPH.official,,partial,false,osm
فندق السدير,Sadeer Hotel,,,,,Baghdad,Baghdad,Hotel,hotel,33.3156065,44.4244952,,,partial,false,osm
فندق نبع الفرات,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3318973,44.4075822,,,partial,false,osm
فندق الكنايري,canary hotel,,,,,Baghdad,Baghdad,Hotel,hotel,33.3837116,44.3304609,,,partial,false,osm
